Date,Open,High,Low,Close,Adj Close,Volume
2011-04-06,12.186429,12.282143,12.040714,12.072857,10.365956,402539200
2011-04-07,12.075000,12.158214,12.001071,12.074286,10.367180,373447200
2011-04-08,12.140000,12.148214,11.926786,11.966429,10.274570,377535200
2011-04-11,11.930714,11.988214,11.786429,11.814286,10.143939,398946800
2011-04-12,11.803214,11.918929,11.792857,11.871429,10.193004,425639200
2011-04-13,11.965000,12.005000,11.875714,12.004643,10.307384,346220000
2011-04-14,11.957143,12.000000,11.859286,11.872143,10.193620,301800800
2011-04-15,11.903571,11.915714,11.671429,11.695000,10.041518,453605600
2011-04-18,11.646429,11.865357,11.434286,11.851786,10.176137,609898800
2011-04-19,11.896429,12.070714,11.846786,12.066429,10.360435,419378400
2011-04-20,12.268214,12.348214,12.196429,12.228929,10.499960,700666400
2011-04-21,12.678571,12.683214,12.447143,12.525000,10.754171,753810400
2011-04-25,12.512143,12.633929,12.510714,12.607500,10.825007,266546000
2011-04-26,12.629286,12.678214,12.476786,12.515000,10.745584,338800000
2011-04-27,12.580000,12.583929,12.396429,12.505357,10.737306,356213200
2011-04-28,12.363929,12.491071,12.340000,12.383929,10.633045,360959200
2011-04-29,12.385000,12.641071,12.381071,12.504643,10.736691,1006345200
2011-05-02,12.490714,12.516786,12.339286,12.367143,10.618633,442713600
2011-05-03,12.428214,12.496071,12.343571,12.435714,10.677508,313348000
2011-05-04,12.437857,12.565357,12.388571,12.484643,10.719519,389250400
2011-05-05,12.442857,12.533929,12.358929,12.383929,10.633045,335969200
2011-05-06,12.488929,12.500000,12.364643,12.380714,10.630284,280134400
2011-05-09,12.423571,12.471429,12.376071,12.414286,10.659111,204747200
2011-05-10,12.460357,12.488929,12.380714,12.480357,10.715838,282091600
2011-05-11,12.465000,12.500000,12.330000,12.401071,10.647763,336000000
2011-05-12,12.361429,12.397143,12.223929,12.377500,10.627523,322000000
2011-05-13,12.345000,12.366071,12.155357,12.160714,10.441391,326116000
2011-05-16,12.114286,12.186429,11.878571,11.903571,10.220602,449775200
2011-05-17,11.857143,12.005000,11.811786,12.005000,10.307693,452334400
2011-05-18,12.016786,12.180357,12.000000,12.138214,10.422071,334776400
2011-05-19,12.217143,12.228929,12.095357,12.161786,10.442308,261170000
2011-05-20,12.127143,12.176786,11.965000,11.972143,10.279479,337968400
2011-05-23,11.784643,11.999286,11.765000,11.942857,10.254332,383600000
2011-05-24,11.982143,11.996429,11.833571,11.863929,10.186565,321927200
2011-05-25,11.908214,12.091429,11.887500,12.027857,10.327316,294224000
2011-05-26,11.998929,12.031786,11.943929,11.964286,10.272730,222560800
2011-05-27,11.957143,12.058214,11.939643,12.050357,10.346634,203599200
2011-05-31,12.182143,12.422500,12.178571,12.422500,10.666161,417754400
2011-06-01,12.459643,12.576071,12.308929,12.339643,10.595021,554682800
2011-06-02,12.375000,12.427857,12.296429,12.360714,10.613110,338783200
2011-06-03,12.256429,12.333214,12.214643,12.265714,10.531543,313250000
2011-06-06,12.346429,12.394643,12.064643,12.072857,10.365956,461941200
2011-06-07,12.077500,12.079286,11.853571,11.858571,10.181962,529785200
2011-06-08,11.849286,11.957143,11.808929,11.865714,10.188095,333723600
2011-06-09,11.901786,11.916786,11.812500,11.838929,10.165097,275088800
2011-06-10,11.805357,11.845000,11.625357,11.639286,9.993685,433955200
2011-06-13,11.685714,11.725357,11.609643,11.664286,10.015149,329473200
2011-06-14,11.785714,11.901786,11.761071,11.872857,10.194231,334569200
2011-06-15,11.776786,11.796429,11.602857,11.669643,10.019747,399196000
2011-06-16,11.675000,11.738571,11.368929,11.612857,9.970989,510591200
2011-06-17,11.749643,11.758929,11.405714,11.437857,9.820731,615020000
2011-06-20,11.334286,11.346429,11.089286,11.261429,9.669245,640645600
2011-06-21,11.310000,11.635714,11.257143,11.617857,9.975283,493382400
2011-06-22,11.612857,11.746429,11.513571,11.521786,9.892794,390583200
2011-06-23,11.390714,11.846071,11.361429,11.829643,10.157125,559759200
2011-06-24,11.834643,11.898214,11.610357,11.655357,10.007479,439807200
2011-06-27,11.699643,11.925000,11.687500,11.858571,10.181962,339813600
2011-06-28,11.916071,12.025000,11.908571,11.973571,10.280704,294299600
2011-06-29,12.001429,12.013214,11.852857,11.930000,10.243295,352545200
2011-06-30,11.953571,12.004643,11.887143,11.988214,10.293275,322954800
2011-07-01,11.998214,12.267857,11.935714,12.259286,10.526025,435313200
2011-07-05,12.250000,12.493929,12.232143,12.479643,10.715225,355054000
2011-07-06,12.462500,12.646429,12.382500,12.562857,10.786676,444626000
2011-07-07,12.666786,12.785714,12.642857,12.757143,10.953491,399663600
2011-07-08,12.619286,12.857143,12.578571,12.846786,11.030458,489633200
2011-07-11,12.726429,12.848929,12.600714,12.642857,10.855366,442674400
2011-07-12,12.626071,12.774286,12.450714,12.633929,10.847702,451609200
2011-07-13,12.797500,12.857143,12.727857,12.786429,10.978642,391638800
2011-07-14,12.893214,12.914643,12.726429,12.777500,10.970972,430533600
2011-07-15,12.898929,13.035714,12.827500,13.032857,11.190226,484467200
2011-07-18,13.051071,13.380357,13.045714,13.350000,11.462526,572653200
2011-07-19,13.500000,13.523214,13.332857,13.458929,11.556058,819145600
2011-07-20,14.147143,14.152500,13.785714,13.817857,11.864238,941340400
2011-07-21,13.819643,13.930714,13.710714,13.831786,11.876197,526534400
2011-07-22,13.868571,14.108929,13.848214,14.046429,12.060494,516728800
2011-07-25,13.941071,14.285714,13.915000,14.232143,12.219952,589806000
2011-07-26,14.285714,14.446429,14.274286,14.407500,12.370517,476582400
2011-07-27,14.306786,14.380000,14.005357,14.021071,12.038725,659324400
2011-07-28,13.986429,14.178214,13.861786,13.993571,12.015107,594034000
2011-07-29,13.844286,14.112500,13.714286,13.945714,11.974017,632584400
2011-08-01,14.206429,14.267857,14.013214,14.169643,12.166288,612836000
2011-08-02,14.201786,14.210714,13.869643,13.889643,11.925877,639539600
2011-08-03,13.963571,14.055357,13.651429,14.020357,12.038110,732508000
2011-08-04,13.907500,13.975714,13.476786,13.477500,11.572001,871407600
2011-08-05,13.587143,13.696429,12.948929,13.343571,11.457007,1204590800
2011-08-08,12.917500,13.134643,12.607857,12.614643,10.831141,1143833600
2011-08-09,12.903571,13.378929,12.678571,13.357500,11.468970,1082583600
2011-08-10,13.255357,13.380357,12.946429,12.988929,11.152509,878656800
2011-08-11,13.232857,13.408929,13.025714,13.346429,11.459462,741969200
2011-08-12,13.502500,13.558571,13.365357,13.463929,11.560350,528976000
2011-08-15,13.558214,13.748929,13.503214,13.693214,11.757218,460544000
2011-08-16,13.625714,13.691786,13.430714,13.588571,11.667371,498750000
2011-08-17,13.653929,13.732857,13.500000,13.587143,11.666145,442061200
2011-08-18,13.244286,13.308929,12.906071,13.073214,11.224875,851435200
2011-08-19,12.934643,13.107143,12.714286,12.715357,10.917614,775888400
2011-08-22,13.018214,13.031429,12.681786,12.730000,10.930188,535315200
2011-08-23,12.867857,13.344286,12.750000,13.342857,11.456396,656835200
2011-08-24,13.338214,13.534286,13.235714,13.435000,11.535513,626267600
2011-08-25,13.038571,13.408929,13.035714,13.347143,11.460076,871346000
2011-08-26,13.256071,13.707143,13.242857,13.699286,11.762429,641477200
2011-08-29,13.863571,13.982143,13.857143,13.927500,11.958381,405269200
2011-08-30,13.866071,13.994286,13.793214,13.928214,11.958991,417922400
2011-08-31,13.948929,14.002857,13.637857,13.743929,11.800762,522586400
2011-09-01,13.779286,13.833571,13.597143,13.608214,11.684236,343725200
2011-09-02,13.383571,13.500000,13.279643,13.358929,11.470196,438939200
2011-09-06,13.120357,13.583214,13.088571,13.562143,11.644680,509698000
2011-09-07,13.770000,13.771429,13.642857,13.711786,11.773166,350576800
2011-09-08,13.657143,13.878929,13.653929,13.719286,11.779606,416158400
2011-09-09,13.711786,13.785714,13.393571,13.481429,11.575375,564813200
2011-09-12,13.321429,13.602857,13.282143,13.569286,11.650813,467832400
2011-09-13,13.647857,13.793214,13.580357,13.736429,11.794324,440560400
2011-09-14,13.822143,14.007500,13.777143,13.903571,11.937831,534724400
2011-09-15,13.979643,14.059286,13.925000,14.034286,12.050067,417818800
2011-09-16,14.126429,14.303571,14.108214,14.303571,12.281282,698513200
2011-09-19,14.178571,14.758214,14.114286,14.701071,12.622579,823860800
2011-09-20,14.830357,15.102143,14.685357,14.766071,12.678391,775754000
2011-09-21,14.987143,15.056786,14.714286,14.719286,12.638222,605976000
2011-09-22,14.322500,14.636429,14.167857,14.350714,12.321759,968480800
2011-09-23,14.295714,14.526429,14.280357,14.439286,12.397811,546277200
2011-09-26,14.280714,14.427857,13.975000,14.398929,12.363155,812876400
2011-09-27,14.597500,14.616071,14.216429,14.259286,12.243256,632497600
2011-09-28,14.292500,14.419286,14.161071,14.178929,12.174259,429637600
2011-09-29,14.354286,14.364643,13.793214,13.948929,11.976778,651086800
2011-09-30,13.825714,13.888929,13.613571,13.618571,11.693130,547640800
2011-10-03,13.584643,13.665714,13.327500,13.378571,11.487063,669099200
2011-10-04,13.377500,13.635714,12.651429,13.303571,11.422664,1233677200
2011-10-05,13.137857,13.565000,12.867857,13.508929,11.598990,786469600
2011-10-06,13.333214,13.742143,13.278571,13.477500,11.572001,812582400
2011-10-07,13.420714,13.490714,13.160357,13.207143,11.339871,535458000
2011-10-10,13.538929,13.886071,13.507500,13.886071,11.922808,442514800
2011-10-11,14.020357,14.399286,13.982143,14.296071,12.274843,605687600
2011-10-12,14.547857,14.616071,14.290714,14.363929,12.333107,622286000
2011-10-13,14.463571,14.586786,14.387500,14.586786,12.524454,426185200
2011-10-14,14.886786,15.071429,14.831071,15.071429,12.940576,573367200
2011-10-17,15.062143,15.239286,14.855000,14.999643,12.878941,686044800
2011-10-18,15.062857,15.171786,14.856786,15.080000,12.947935,881602400
2011-10-19,14.333929,14.586429,14.207143,14.236429,12.223630,1104059600
2011-10-20,14.285714,14.298214,14.078929,14.118214,12.122129,549270400
2011-10-21,14.217857,14.255000,13.955357,14.031071,12.047307,621244400
2011-10-24,14.149286,14.517857,14.121429,14.491786,12.442887,502138000
2011-10-25,14.465357,14.519643,14.192143,14.206071,12.197565,430427200
2011-10-26,14.348571,14.376786,14.041071,14.307143,12.284349,456304800
